time,open,high,low,close,volume
2026-01-12 15:00:00+00:00,1.16768,1.1686,1.16729,1.16812,6665
2026-01-12 16:00:00+00:00,1.16812,1.16822,1.16713,1.16718,5640
2026-01-12 17:00:00+00:00,1.16718,1.1676,1.16661,1.16686,5020
2026-01-12 18:00:00+00:00,1.16686,1.16716,1.16653,1.1669,2985
2026-01-12 19:00:00+00:00,1.16688,1.1674,1.1668,1.16721,2403
2026-01-12 20:00:00+00:00,1.16722,1.16734,1.16631,1.16652,2629
2026-01-12 21:00:00+00:00,1.16651,1.16691,1.16644,1.16668,1289
2026-01-12 22:00:00+00:00,1.167,1.16704,1.16674,1.16688,1337
2026-01-12 23:00:00+00:00,1.16688,1.16709,1.16656,1.16676,1694
2026-01-13 00:00:00+00:00,1.16674,1.16676,1.16608,1.16636,2750
2026-01-13 01:00:00+00:00,1.16637,1.16646,1.16562,1.16586,3426
2026-01-13 02:00:00+00:00,1.16586,1.16614,1.16568,1.16591,2676
2026-01-13 03:00:00+00:00,1.1659,1.16637,1.16565,1.16588,2045
2026-01-13 04:00:00+00:00,1.16586,1.1666,1.16585,1.16654,2607
2026-01-13 05:00:00+00:00,1.16656,1.16676,1.16618,1.16628,2340
2026-01-13 06:00:00+00:00,1.16629,1.1663,1.16538,1.16588,3713
2026-01-13 07:00:00+00:00,1.16587,1.1665,1.1656,1.16642,4791
2026-01-13 08:00:00+00:00,1.1664,1.16694,1.16587,1.16693,5441
2026-01-13 09:00:00+00:00,1.16692,1.16726,1.16636,1.1672,4250
2026-01-13 10:00:00+00:00,1.16719,1.16746,1.16652,1.16664,4038
2026-01-13 11:00:00+00:00,1.16664,1.16704,1.16646,1.16686,2606
2026-01-13 12:00:00+00:00,1.16684,1.16691,1.16531,1.16552,4246
2026-01-13 13:00:00+00:00,1.16552,1.1678,1.16502,1.16684,14372
2026-01-13 14:00:00+00:00,1.16684,1.16734,1.16574,1.16638,11190
2026-01-13 15:00:00+00:00,1.16638,1.1665,1.16442,1.1652,8663
2026-01-13 16:00:00+00:00,1.16521,1.16546,1.16342,1.16457,6730
2026-01-13 17:00:00+00:00,1.16458,1.16488,1.16412,1.16462,4860
2026-01-13 18:00:00+00:00,1.16462,1.16546,1.16416,1.16533,3598
2026-01-13 19:00:00+00:00,1.16534,1.16534,1.16462,1.16492,4026
2026-01-13 20:00:00+00:00,1.16492,1.16499,1.16451,1.16456,3107
2026-01-13 21:00:00+00:00,1.16454,1.16466,1.16426,1.16428,1400
2026-01-13 22:00:00+00:00,1.16436,1.16454,1.16423,1.16447,797
2026-01-13 23:00:00+00:00,1.16446,1.16456,1.1642,1.1642,931
2026-01-14 00:00:00+00:00,1.1642,1.16437,1.1638,1.16429,2588
2026-01-14 01:00:00+00:00,1.1643,1.16434,1.16368,1.16382,2601
2026-01-14 02:00:00+00:00,1.16382,1.16444,1.16362,1.16436,2223
2026-01-14 03:00:00+00:00,1.16438,1.1649,1.16436,1.1647,2035
2026-01-14 04:00:00+00:00,1.1647,1.16482,1.16436,1.16441,1357
2026-01-14 05:00:00+00:00,1.1644,1.16452,1.16417,1.1642,1841
2026-01-14 06:00:00+00:00,1.1642,1.16502,1.16415,1.16492,2560
2026-01-14 07:00:00+00:00,1.16491,1.1652,1.16446,1.16462,3487
2026-01-14 08:00:00+00:00,1.16462,1.16504,1.1641,1.16476,6607
2026-01-14 09:00:00+00:00,1.16475,1.16538,1.1646,1.16518,4395
2026-01-14 10:00:00+00:00,1.16518,1.16579,1.16468,1.16551,4937
2026-01-14 11:00:00+00:00,1.1655,1.1655,1.16438,1.1647,4457
2026-01-14 12:00:00+00:00,1.16471,1.166,1.1645,1.16598,5738
2026-01-14 13:00:00+00:00,1.16598,1.16598,1.16449,1.165,6488
2026-01-14 14:00:00+00:00,1.16498,1.16598,1.16488,1.16558,9631
2026-01-14 15:00:00+00:00,1.16559,1.16606,1.16494,1.166,10656
2026-01-14 16:00:00+00:00,1.16598,1.16618,1.16526,1.16546,5981
2026-01-14 17:00:00+00:00,1.16546,1.16558,1.16456,1.16468,4978
2026-01-14 18:00:00+00:00,1.16468,1.16479,1.1638,1.1638,4275
2026-01-14 19:00:00+00:00,1.16379,1.16394,1.16353,1.16362,3199
2026-01-14 20:00:00+00:00,1.16363,1.16474,1.16363,1.16433,4510
2026-01-14 21:00:00+00:00,1.1643,1.16465,1.16422,1.16454,1937
2026-01-14 22:00:00+00:00,1.16469,1.1647,1.16444,1.1645,503
2026-01-14 23:00:00+00:00,1.16448,1.16471,1.16445,1.1645,1333
2026-01-15 00:00:00+00:00,1.16451,1.16456,1.16358,1.16378,3034
2026-01-15 01:00:00+00:00,1.16377,1.16419,1.16333,1.16386,5281
2026-01-15 02:00:00+00:00,1.16382,1.16409,1.16362,1.16403,2637
2026-01-15 03:00:00+00:00,1.16402,1.16415,1.16368,1.16389,2190
2026-01-15 04:00:00+00:00,1.1639,1.16394,1.16343,1.16346,1774
2026-01-15 05:00:00+00:00,1.16346,1.1638,1.16336,1.16352,2826
2026-01-15 06:00:00+00:00,1.16352,1.16385,1.163,1.16332,3735
2026-01-15 07:00:00+00:00,1.16333,1.16366,1.1626,1.16289,5320
2026-01-15 08:00:00+00:00,1.16288,1.16354,1.16269,1.16308,5212
2026-01-15 09:00:00+00:00,1.16308,1.164,1.16304,1.16359,5951
2026-01-15 10:00:00+00:00,1.16358,1.16411,1.16329,1.16358,4472
2026-01-15 11:00:00+00:00,1.16356,1.16381,1.16302,1.16308,4021
2026-01-15 12:00:00+00:00,1.16307,1.1635,1.16203,1.16228,4022
2026-01-15 13:00:00+00:00,1.16229,1.16252,1.15988,1.16014,10161
2026-01-15 14:00:00+00:00,1.16013,1.1611,1.15932,1.16012,9914
2026-01-15 15:00:00+00:00,1.16012,1.16096,1.1597,1.16024,8218
2026-01-15 16:00:00+00:00,1.16024,1.16112,1.15984,1.16047,5845
2026-01-15 17:00:00+00:00,1.16046,1.16138,1.16036,1.1609,4405
2026-01-15 18:00:00+00:00,1.1609,1.16153,1.1609,1.16149,3167
